nome,completeness_score,fowlkes_mallows_score,homogeneity_score,v_measure_score,rand_score,adjusted_rand_score,mutual_info_score,adjusted_mutual_info_score,normalized_mutual_info_score,tempo
iris,0.722,0.763,0.674,0.696,0.823,0.622,0.74,0.692,0.696,0.4013213589969382
micro-mass,0.692,0.465,0.592,0.638,0.846,0.366,1.364,0.615,0.638,4.912426019000122
monks-problems-1,0.063,0.541,0.063,0.063,0.542,0.084,0.044,0.062,0.063,0.6348035570008506
breast-tissue,0.202,0.251,0.197,0.199,0.746,0.098,0.351,0.133,0.199,0.5341636820012354
GCM,0.5,0.32,0.472,0.485,0.878,0.252,1.209,0.367,0.485,48.8707342839989
balance-scale,0.119,0.492,0.13,0.124,0.576,0.129,0.119,0.121,0.124,0.661771877999854
servo,0.078,0.582,0.088,0.083,0.5,-0.026,0.047,0.078,0.083,0.3851428220004891
AP_Breast_Lung,0.002,0.551,0.002,0.002,0.499,-0.002,0.001,-0.0,0.002,24.084357497002202
AP_Colon_Kidney,0.173,0.6,0.173,0.173,0.595,0.191,0.119,0.172,0.173,23.231421036998654
AP_Breast_Kidney,0.018,0.524,0.019,0.018,0.514,0.027,0.013,0.017,0.018,29.29695180300041
AP_Breast_Ovary,0.023,0.586,0.005,0.005,0.518,0.017,0.003,0.004,0.005,18.78147365899713
AP_Breast_Colon,0.012,0.513,0.012,0.012,0.509,0.017,0.008,0.011,0.012,25.376229730001796
AP_Colon_Prostate,0.061,0.605,0.076,0.067,0.522,0.044,0.037,0.065,0.067,13.055957495002076
AP_Endometrium_Breast,0.004,0.617,0.005,0.004,0.504,-0.012,0.002,0.002,0.004,15.250751147999836
AP_Colon_Omentum,0.01,0.578,0.013,0.011,0.5,-0.001,0.007,0.009,0.011,12.478098005001812
AP_Breast_Omentum,0.0,0.597,0.0,0.0,0.503,-0.001,0.0,-0.002,0.0,17.284836725000787
AP_Prostate_Kidney,0.169,0.66,0.189,0.177,0.581,0.123,0.097,0.175,0.177,14.831907742998737
AP_Omentum_Kidney,0.012,0.585,0.011,0.011,0.505,-0.017,0.006,0.008,0.011,14.768018816001131
AP_Breast_Prostate,0.033,0.617,0.033,0.033,0.517,0.026,0.015,0.031,0.033,17.68315824399906
AP_Uterus_Kidney,0.011,0.541,0.009,0.01,0.505,0.006,0.006,0.008,0.01,21.843957475000934
AP_Prostate_Uterus,0.136,0.593,0.136,0.136,0.573,0.146,0.089,0.133,0.136,5.33565320499838
AP_Omentum_Lung,0.004,0.532,0.002,0.002,0.501,-0.004,0.001,-0.002,0.002,6.826018724001187
AP_Lung_Uterus,0.001,0.505,0.0,0.0,0.498,-0.003,0.0,-0.003,0.0,8.474461681998946
AP_Ovary_Kidney,0.02,0.572,0.001,0.001,0.502,-0.001,0.001,-0.001,0.001,17.130415242001618
AP_Lung_Kidney,0.137,0.613,0.146,0.14,0.577,0.147,0.092,0.139,0.14,18.25403146199824
AP_Colon_Lung,0.007,0.538,0.008,0.008,0.503,0.006,0.005,0.006,0.008,23.395555011997203
AP_Endometrium_Colon,0.022,0.606,0.031,0.025,0.506,-0.013,0.014,0.023,0.025,15.000392770001781
AP_Ovary_Lung,0.073,0.72,0.002,0.004,0.522,-0.002,0.002,-0.002,0.004,29.060093673000665
AP_Endometrium_Kidney,0.033,0.6,0.043,0.037,0.503,-0.027,0.021,0.034,0.037,12.80959173500014
AP_Colon_Uterus,0.005,0.538,0.006,0.006,0.502,0.004,0.004,0.004,0.006,15.214421888002107
leukemia,0.164,0.632,0.144,0.151,0.581,0.149,0.093,0.141,0.151,0.6482936530010193
hepatitisC,0.109,0.592,0.219,0.145,0.496,0.088,0.107,0.136,0.145,61.97802177799895
Ovarian,0.009,0.524,0.01,0.009,0.506,0.011,0.006,0.007,0.009,18.518426377999276
SRBCT,0.26,0.409,0.21,0.23,0.589,0.112,0.279,0.189,0.23,0.45740554200165207
Colon,0.043,0.552,0.044,0.043,0.519,0.032,0.028,0.03,0.043,0.2523528730016551
climate-model-simulation-crashes,0.068,0.658,0.162,0.096,0.511,0.024,0.047,0.094,0.096,0.9324322559987195
pasture,0.417,0.568,0.397,0.406,0.707,0.348,0.436,0.369,0.406,0.1980541680022725
glass,0.385,0.451,0.359,0.371,0.693,0.238,0.542,0.343,0.371,1.1440143850013555
kc1-binary,0.14,0.69,0.048,0.072,0.533,0.049,0.033,0.064,0.072,0.29590239499884774
dermatology,0.115,0.222,0.117,0.116,0.702,0.038,0.198,0.097,0.116,3.7937941890013462
backache,0.008,0.63,0.012,0.009,0.508,-0.026,0.005,0.004,0.009,0.5488469189986063
lsvt,0.042,0.592,0.034,0.038,0.498,-0.04,0.022,0.031,0.038,0.2748425700010557
thoracic-surgery,0.002,0.663,0.001,0.001,0.549,-0.002,0.0,-0.002,0.001,1.0183196739999403
planning-relax,0.0,0.541,0.0,0.0,0.498,-0.004,0.0,-0.004,0.0,0.513272517000587
